Image_URL,Player,Team,Rarity,Subset
https://topps-nft-assets-production.s3.amazonaws.com/cefd36a0-ae76-4ecd-a291-3c4f18947994/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_42_LAA-Anthony-Rendon_Legendary_Black_Preview_O.jpg,Anthony Rendon,Angels,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/21b6be33-d4bb-4e9a-a23f-42620263aa69/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_42_LAA-Anthony-Rendon_Uncommon_Blue_Preview_O.jpg,Anthony Rendon,Angels,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/fbf61851-2682-4b4b-8162-d8c3e26d0d74/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_42_LAA-Anthony-Rendon_Rare_Red_Preview_O.jpg,Anthony Rendon,Angels,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/c239761a-0a88-48ca-b91d-4f589afa37ec/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_42_LAA-Anthony-Rendon_Common_White_Preview_O.jpg,Anthony Rendon,Angels,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/7ba87bc7-5d44-4d25-8092-55446ec8f241/Collectibles/Letter_Booklet/MLB_Inception-2021-NFTs_Facsimile-Signature-Letter-Booklet_08_LAA-Jo-Adell_Legendary_Team-Color_Preview_O.jpg,Jo Adell,Angels,Legendary,Facsimile Signature Letter Booklet
https://topps-nft-assets-production.s3.amazonaws.com/efff1ed0-703c-4dc1-8418-3fdcbad24c9f/Collectibles/Silver_Gold_Signings/MLB_Inception-2021-NFTs_Gold-Signings-Facsimile-Signature_20_LAA-Jo-Adell_Epic_Gold_Preview_O.jpg,Jo Adell,Angels,Epic,Gold Signings Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/c16496c6-efd8-48b6-83bb-6fa5c3fc3e3a/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_43_LAA-Jo-Adell_Legendary_Black_Preview_O.jpg,Jo Adell,Angels,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/8352b73b-92af-4700-85ff-66248292b779/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_43_LAA-Jo-Adell_Uncommon_Blue_Preview_O.jpg,Jo Adell,Angels,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/eb4140ad-49e0-4bb7-893a-7c827185bfa7/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_43_LAA-Jo-Adell_Rare_Red_Preview_O.jpg,Jo Adell,Angels,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/85884755-bfce-47d3-b6f4-34949cb5787f/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_43_LAA-Jo-Adell_Common_White_Preview_O.jpg,Jo Adell,Angels,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/bc79143d-4bff-42bc-ba86-967696444a32/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_35_LAA-Jo-Adell_Legendary_Black_Preview_O.jpg,Jo Adell,Angels,Legendary,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/a8b504e0-4284-4cff-a9f5-ce3b61c71a4a/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_35_LAA-Jo-Adell_Super-Rare_Blue_Preview_O.jpg,Jo Adell,Angels,Super Rare,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/0064c91a-d071-4743-a6c1-82478b5a5f1a/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_35_LAA-Jo-Adell_Epic_Red_Preview_O.jpg,Jo Adell,Angels,Epic,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/5a02545c-d3a3-4f9d-81bd-cf06ba4baa07/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_35_LAA-Jo-Adell_Rare_White_Preview_O.jpg,Jo Adell,Angels,Rare,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/132af716-5d78-4a47-9064-6b01df5035af/Collectibles/Silver_Gold_Signings/MLB_Inception-2021-NFTs_Silver-Signings-Facsimile-Signature_20_LAA-Jo-Adell_Super-Rare_Silver_Preview_O.jpg,Jo Adell,Angels,Super Rare,Silver Signings Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/d1b42e93-042a-437b-9345-791cd7f9bf3f/Collectibles/Letter_Booklet/MLB_Inception-2021-NFTs_Facsimile-Signature-Letter-Booklet_09_LAA-Mike-Trout_Legendary_Team-Color_Preview_O.jpg,Mike Trout,Angels,Legendary,Facsimile Signature Letter Booklet
https://topps-nft-assets-production.s3.amazonaws.com/e722b414-5ed7-405c-9335-d454c8a345fe/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_44_LAA-Mike-Trout_Legendary_Black_Preview_O.jpg,Mike Trout,Angels,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/ffd70081-90fa-4733-85bd-38db8335f257/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_44_LAA-Mike-Trout_Uncommon_Blue_Preview_O.jpg,Mike Trout,Angels,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/8a309f94-150c-49a1-99a3-e64b4c5b4250/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_44_LAA-Mike-Trout_Rare_Red_Preview_O.jpg,Mike Trout,Angels,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/7328690f-07dd-4acb-9e3a-663af9402c81/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_44_LAA-Mike-Trout_Common_White_Preview_O.jpg,Mike Trout,Angels,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/f3f6e91c-b8b5-49d1-aeb8-73f41483dd01/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_45_LAA-Shohei-Ohtani_Legendary_Black_Preview_O.jpg,Shohei Ohtani,Angels,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/7506d70d-5af3-4a64-84c2-c8082f61256a/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_45_LAA-Shohei-Ohtani_Uncommon_Blue_Preview_O.jpg,Shohei Ohtani,Angels,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/09ebcabb-e710-4097-b059-4bb332dc8645/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_45_LAA-Shohei-Ohtani_Rare_Red_Preview_O.jpg,Shohei Ohtani,Angels,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/90f09737-e066-4901-8465-8dacbfdff3b9/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_45_LAA-Shohei-Ohtani_Common_White_Preview_O.jpg,Shohei Ohtani,Angels,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/495d7b0f-2624-49a7-a7b7-41d360b32421/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_01_ARI-Daulton-Varsho_Legendary_Black_Preview_O.jpg,Daulton Varsho,Arizona Diamondbacks,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/532e3e2e-a661-4e3d-b9a1-b28277de007f/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_01_ARI-Daulton-Varsho_Uncommon_Blue_Preview_O.jpg,Daulton Varsho,Arizona Diamondbacks,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/60a01f38-e33a-4470-bb42-2f2bbc69a59e/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_01_ARI-Daulton-Varsho_Rare_Red_Preview_O.jpg,Daulton Varsho,Arizona Diamondbacks,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/cf155298-0431-4b43-a943-99f7b8ef55db/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_01_ARI-Daulton-Varsho_Common_White_Preview_O.jpg,Daulton Varsho,Arizona Diamondbacks,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/b62939e9-37b3-4570-b690-72f3be0d500c/Collectibles/Letter_Booklet/MLB_Inception-2021-NFTs_Facsimile-Signature-Letter-Booklet_01_ATL-Cristian-Pache_Legendary_Team-Color_Preview_O.jpg,Cristian Pache,Atlanta Braves,Legendary,Facsimile Signature Letter Booklet
https://topps-nft-assets-production.s3.amazonaws.com/772ce683-c666-4792-bbbe-97bcb40870d5/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_02_ATL-Cristian-Pache_Legendary_Black_Preview_O.jpg,Cristian Pache,Atlanta Braves,Legendary,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/0527c635-753b-45c8-b45a-07e8eec26d3e/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_02_ATL-Cristian-Pache_Uncommon_Blue_Preview_O.jpg,Cristian Pache,Atlanta Braves,Uncommon,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/92dc9ae5-67c2-4132-837e-db3795c15029/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_02_ATL-Cristian-Pache_Rare_Red_Preview_O.jpg,Cristian Pache,Atlanta Braves,Rare,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/e0263427-becf-46a2-94e7-6de4e056584b/Collectibles/Inception_Base/MLB_Inception-2021-NFTs_Inception-Base_02_ATL-Cristian-Pache_Common_White_Preview_O.jpg,Cristian Pache,Atlanta Braves,Common,Inception Base
https://topps-nft-assets-production.s3.amazonaws.com/53f023bd-25c3-405e-b783-833c01231b1b/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_01_ATL-Cristian-Pache_Legendary_Black_Preview_O.jpg,Cristian Pache,Atlanta Braves,Legendary,Rookie and Future Phenoms Facsimile Signature
https://topps-nft-assets-production.s3.amazonaws.com/91416df1-45f2-4211-a242-f24060ea6745/Collectibles/Rookie_and_Future_Phenoms_Facsimile_Signature/MLB_Inception-2021-NFTs_Rookie-and-Future-Phenoms-Facsimile-Signature_01_ATL-Cristian-Pache_Super-Rare_Blue_Preview_O.jpg,Cristian Pache,Atlanta Braves,Super Rare,Rookie and Future Phenoms Facsimile Signature
